	TCGA-CU-A0YN-11A-11R-A10U-07	TCGA-BT-A20N-11A-11R-A14Y-07	TCGA-CU-A0YR-11A-13R-A10U-07	TCGA-K4-A3WV-11A-21R-A22U-07	TCGA-GD-A2C5-11A-11R-A180-07	TCGA-GD-A3OP-11A-11R-A220-07	TCGA-BT-A20U-11A-11R-A14Y-07	TCGA-GC-A3WC-11A-11R-A22U-07	TCGA-BL-A13J-11A-13R-A10U-07	TCGA-BT-A2LB-11A-11R-A18C-07	TCGA-K4-A5RI-11A-11R-A28M-07	TCGA-BT-A20R-11A-11R-A16R-07	TCGA-K4-A54R-11A-11R-A26T-07	TCGA-BT-A20W-11A-11R-A14Y-07	TCGA-BT-A20Q-11A-11R-A14Y-07	TCGA-GC-A3BM-11A-11R-A22U-07	TCGA-GD-A3OQ-11A-21R-A220-07
1	71.5	81.14	120.94	197.09	239.52	94.01	121.79	199.85	93.35	182.55	688.78	91.41	68.07	205.5	28.04	126.12	106.63
2	23820.89	21768.19	24660.96	4358.66	13968.57	9151.82	12076.21	18304.63	14663.09	13872.08	42937.97	23330.64	12244.81	81244.48	11909.94	29531.18	16611.71
9	59.97	33.54	50.63	120.94	134.3	139.07	125.24	95.34	48.18	78.34	74.58	23.59	56.68	105.89	41.81	83.45	112.77
10	3.06	0	0.82	0	0.38	1.68	1.99	1.58	2.16	0	0	1.75	1.75	0	0	1.57	1.46
12	1250.98	1498.22	1870.53	149.12	323.03	647.07	400.71	1639.59	1313.23	1183.45	2047	9945.68	679.29	1417.35	314.17	603.67	769.69
13	22.43	12	4.13	2.78	226.54	5.45	995	6.41	26.47	21.47	9.27	2.25	85.82	82.29	4.9	83.45	185.11
14	1909.85	2520.38	3039.3	3614.55	2720.15	3540.14	2720.15	3039.3	2485.67	2520.38	3212.66	2520.38	3349.13	2468.49	2400.97	2935.74	2777.33
15	0	0	0	0.35	3.66	2.34	4.74	6.67	3.03	0.83	3.53	0	2.1	0	0	1.57	1.85
16	1583.71	1651	1909.85	961.07	1044.52	896.64	1001.93	1322.37	1781.89	559.28	890.44	1350.18	616.37	1350.18	2032.85	915.51	1208.34
18	38.67	53.19	138.1	486.75	583.07	327.56	221.86	154.42	59.55	126.12	103.69	31	295.11	143.01	32.59	260.38	583.07
19	283.05	438.59	281.09	148.09	145.02	98.73	175.07	325.29	571.05	61.68	172.65	684.02	77.25	149.12	273.37	173.85	379.04
20	454.09	397.93	599.49	463.65	167.9	307.69	287.01	444.72	473.41	241.19	503.95	299.25	432.53	387.02	466.88	507.46	486.75
21	248	176.29	157.68	63.89	32.36	31.67	47.17	121.79	201.25	33.54	70.51	115.16	22.75	63	291.04	48.18	108.14
22	435.55	332.14	441.64	307.69	305.55	255	228.13	414.87	409.15	309.83	241.19	400.71	251.48	299.25	305.55	307.69	287.01
23	1286.18	1191.69	1088.92	1015.93	988.12	1073.91	743.43	1127.35	1151.06	1088.92	1143.1	961.07	1498.22	1111.82	1199.98	1135.2	988.12
24	11.38	14.14	14.67	3.08	23.08	6.41	40.64	2.81	37.32	10.71	78.34	10.08	2.48	8.06	3.56	4.78	3.72
25	2591.27	2777.33	2335.28	603.67	447.82	595.34	633.73	1857.6	2627.46	624.99	1313.23	4239.45	1096.5	1313.23	2417.67	967.76	1044.52
26	6.57	1.79	8.51	46.18	29.48	29.48	14.67	60.82	7.34	57.89	211.31	1.35	19.82	27.25	0	1.2	3.35
27	105.89	312	139.07	52.08	61.25	40.07	40.36	111.21	140.04	104.42	132.44	392.44	187.71	130.6	75.11	187.71	75.11
29	842.36	796.86	1199.98	2004.85	718.08	1685.71	1457.23	1268.46	941.27	1447.15	995	638.15	1417.35	954.43	1183.45	1662.49	2224.63
30	961.07	688.78	1183.45	3515.68	1313.23	3235.01	1991	1794.29	890.44	2335.28	2119.22	679.29	2287.2	1832.01	753.83	2061.24	2502.97
31	981.29	1001.93	656.11	633.73	819.3	503.95	836.53	836.53	1059.11	579.04	299.25	921.88	536.45	759.08	769.69	693.58	769.69
32	638.15	780.44	748.61	171.45	107.38	117.6	77.79	819.3	1111.82	84.04	166.73	1030.12	133.36	194.36	928.3	229.72	343.89
33	3.14	8.92	15.11	44.57	23.93	5.77	1.25	29.7	13.03	6.26	13.12	11.91	14.03	11.82	7.11	18.56	27.25
34	988.12	1427.22	1159.07	1304.15	1208.34	1883.54	848.22	1037.29	1066.48	1030.12	796.86	1242.34	890.44	967.76	1268.46	1073.91	1617
35	521.76	368.65	551.56	555.41	323.03	532.74	543.96	521.76	563.18	297.17	563.18	406.31	281.09	325.29	587.13	366.09	417.77
36	231.32	334.46	277.2	351.14	171.45	297.17	289.02	273.37	332.14	185.11	143.01	314.17	253.23	208.38	293.07	253.23	656.11
37	4937.99	5147.73	5555.65	11424.74	4210.15	8840.04	11992.79	8598.28	5329.3	8247.98	11504.21	4736.79	21172.91	5403.7	5147.73	10808.41	8363.13
38	2367.9	2287.2	2224.63	688.78	551.56	532.74	1167.14	1572.76	2451.44	1268.46	1225.22	2573.36	395.18	1127.35	2319.15	796.86	896.64
39	371.22	211.31	346.29	503.95	559.28	353.59	1340.84	273.37	244.57	651.58	361.04	209.84	295.11	684.02	182.55	500.46	323.03
40	3.89	0	0	0.68	1.1	0	1.19	0.39	0	0	0	0.87	1.39	1.46	0.44	0.79	1.1
41	120.94	98.73	97.36	9.93	33.54	12.18	34.26	56.28	70.51	24.81	55.89	123.5	18.7	82.29	67.59	43.94	57.89
43	6.67	26.1	44.25	24.81	41.81	35.25	10.47	97.36	4.39	41.81	88.26	18.43	38.4	39.5	8.45	76.71	32.36
47	961.07	764.36	1001.93	684.02	1498.22	669.92	684.02	633.73	764.36	638.15	703.28	759.08	684.02	1378.57	860.08	796.86	1008.9
48	1359.57	981.29	928.3	356.05	348.71	329.84	432.53	791.35	1073.91	329.84	480.04	961.07	412	660.68	1066.48	426.57	507.46
49	16.63	2.68	21.47	7.46	5.19	14.35	14.67	15.8	9.93	9.06	20.86	12.27	10.47	9.56	16.63	13.72	5.19
50	2555.58	2835.7	2537.92	2148.82	1662.49	2485.67	1909.85	2018.8	2537.92	1806.78	1870.53	2255.7	2451.44	1806.78	2319.15	1844.76	2148.82
51	406.31	423.61	503.95	988.12	819.3	616.37	612.11	480.04	514.56	567.1	441.64	651.58	1175.27	543.96	395.18	890.44	1191.69
52	1225.22	1250.98	1216.75	1883.54	1437.15	1519.15	1757.34	1417.35	1388.16	1331.57	1583.71	1268.46	1508.65	1977.24	1540.37	1259.69	1674.06
53	525.39	426.57	603.67	525.39	698.41	825	490.14	638.15	466.88	363.56	769.69	269.6	289.02	759.08	409.15	414.87	656.11
54	587.13	624.99	483.38	381.68	995	607.87	525.39	1199.98	497	941.27	2502.97	305.55	426.57	1059.11	260.38	775.05	426.57
55	5.77	21.16	9.85	34.75	260.38	81.71	909.17	9.93	7	764.36	19.11	8.38	32.59	24.11	4.46	38.4	44.89
56	6.94	0	8.45	0	3.66	1.68	1.99	3.56	8.58	0	0	8.65	0	1.1	2.2	1.58	1.11
58	273.37	346.29	69.52	12.93	1.87	4.39	3.99	9.48	73.03	2.1	2.16	201.25	3.17	3.32	518.15	3.56	3.69
59	311742.51	214407.12	177811.84	20030.74	8134.41	23656.34	38697.77	163620.18	223512.12	13399.51	59474.18	187950.38	16383	52497.92	290865.98	29736.59	65082.31
60	38430.46	46986.85	57448.23	59887.86	64186.29	99333	88905.42	65990.84	23492.92	169390.27	66912.05	45701.96	179048.63	75803.72	30999.42	172949.54	59063.35
70	109455.64	47313.67	44761.41	289.02	62.56	1844.76	8963.45	43840.21	41188.81	40.07	9088.59	46019.85	511	5329.3	65990.84	19.25	8718.32
